player_slug,player_name,canonical_name,season_end,war
hugheel01,Elijah Hughes,elijah hughes,2022,-1.635544331605509
humphis01,Isaac Humphries,isaac humphries,2019,-0.158945696
humphkr01,Kris Humphries,kris humphries,2017,-0.064088476
huntede01,De'Andre Hunter,deandre hunter,2020,-1.0943320209767
huntede01,De'Andre Hunter,deandre hunter,2021,2.501885339077892
huntede01,De'Andre Hunter,deandre hunter,2022,0.5497708090721678
hunterj01,RJ Hunter,rj hunter,2017,-0.081684149
hunterj01,RJ Hunter,rj hunter,2018,0.007102981
hunterj01,RJ Hunter,rj hunter,2019,0.20352293
huntevi01,Vincent Hunter,vincent hunter,2018,0.071034359
huntfe01,Feron Hunt,feron hunt,2022,0.0079242478463755
hutchch01,Chandler Hutchison,chandler hutchison,2019,0.313673736
hutchch01,Chandler Hutchison,chandler hutchison,2020,0.011065818267748
hutchch01,Chandler Hutchison,chandler hutchison,2021,-0.5707829722332187
hutchch01,Chandler Hutchison,chandler hutchison,2022,-0.1531258451608102
hylanbo01,Bones Hyland,bones hyland,2022,2.508231469464866
ibakase01,Serge Ibaka,serge ibaka,2017,2.376324629
ibakase01,Serge Ibaka,serge ibaka,2018,1.913936733
ibakase01,Serge Ibaka,serge ibaka,2019,3.573566815
ibakase01,Serge Ibaka,serge ibaka,2020,2.29538383591389
ibakase01,Serge Ibaka,serge ibaka,2021,2.251111373509415
ibakase01,Serge Ibaka,serge ibaka,2022,-0.7954617547886937
iguodan01,Andre Iguodala,andre iguodala,2017,4.223695366
iguodan01,Andre Iguodala,andre iguodala,2018,3.662230125
iguodan01,Andre Iguodala,andre iguodala,2019,4.774918608
iguodan01,Andre Iguodala,andre iguodala,2020,1.04648799971406
iguodan01,Andre Iguodala,andre iguodala,2021,1.119498466063576
iguodan01,Andre Iguodala,andre iguodala,2022,2.259532103430522
ilyaser01,Ersan Ilyasova,ersan ilyasova,2017,5.545918524
ilyaser01,Ersan Ilyasova,ersan ilyasova,2018,4.439977612
ilyaser01,Ersan Ilyasova,ersan ilyasova,2019,4.57374013
ilyaser01,Ersan Ilyasova,ersan ilyasova,2020,1.60111605293651
ilyaser01,Ersan Ilyasova,ersan ilyasova,2021,0.269717692127255
inglejo01,Joe Ingles,joe ingles,2017,6.71521289
inglejo01,Joe Ingles,joe ingles,2018,8.429749455
